+=================================================================================================+
| HIGHEST LOSERS (52-WEEK METRIC)                                                                 |
| Date: 20260908 | Processed entries: 486                                                         |
+=================================================================================================+

+----------+------------------------------------------+--------------+--------------+--------------+--------------+
| Symbol   | Name                                     | Price        | 52W Low      | 52W High     | Distance     |
| PAYX     | Paychex                                  |       121.71 |        85.45 |       136.05 |       10.54% |
| CI       | Cigna                                    |       282.52 |       239.51 |       315.47 |       10.44% |
| PCAR     | Paccar                                   |       124.70 |        92.25 |       139.24 |       10.44% |
| PLD      | Prologis                                 |       137.34 |       110.60 |       153.35 |       10.44% |
| ROST     | Ross Stores                              |       230.69 |       143.39 |       257.00 |       10.24% |
| FFIV     | F5 Inc.                                  |       390.47 |       223.76 |       435.00 |       10.24% |
| GD       | General Dynamics                         |       359.39 |       306.77 |       400.00 |       10.15% |
| FTNT     | Fortinet                                 |       156.29 |        73.55 |       173.89 |       10.12% |
| XEL      | Xcel Energy                              |        75.72 |        71.29 |        84.23 |       10.10% |
| REG      | Regency Centers                          |        75.26 |        66.86 |        83.66 |       10.04% |
| DOC      | Healthpeak Properties                    |        20.65 |        15.70 |        22.95 |       10.02% |
| TROW     | T. Rowe Price                            |       109.78 |        85.22 |       122.00 |       10.02% |
| AEE      | Ameren                                   |       106.47 |        96.57 |       118.32 |       10.02% |
| GS       | Goldman Sachs                            |      1038.61 |       733.57 |      1153.99 |       10.00% |
| PSA      | Public Storage                           |       302.01 |       256.54 |       335.55 |       10.00% |
| AFL      | Aflac                                    |       117.21 |       104.66 |       130.22 |        9.99% |
| AMZN     | Amazon                                   |       258.51 |       196.00 |       287.20 |        9.99% |
| SYF      | Synchrony Financial                      |        79.92 |        63.08 |        88.77 |        9.97% |
| O        | Realty Income                            |        61.25 |        55.86 |        67.94 |        9.85% |
| ANET     | Arista Networks                          |       193.78 |       114.52 |       214.89 |        9.82% |
| BKR      | Baker Hughes                             |        63.50 |        43.92 |        70.41 |        9.81% |
| KMI      | Kinder Morgan                            |        31.40 |        25.60 |        34.81 |        9.80% |
| D        | Dominion Energy                          |        65.84 |        55.85 |        72.99 |        9.80% |
| MSFT     | Microsoft                                |       499.70 |       349.20 |       553.72 |        9.76% |
| MCO      | Moody's Corporation                      |       493.55 |       402.28 |       546.88 |        9.75% |
| ECL      | Ecolab                                   |       279.28 |       243.15 |       309.27 |        9.70% |
